連番,索引番号,山名＜山頂名＞,山名よみ＜山頂名よみ＞,標高値(m),種別,都道府県,緯度,経度
307,288,荒沢岳,あらさわだけ,1968,三角点,新潟県,37.100451,139.148187
308,289,下津川山,しもつごうやま,1928,三角点,新潟県 群馬県,36.994781,139.050047
309,290,巻機山,まきはたやま,1967,標高点,群馬県 新潟県,36.978551,138.964448
310,291,大源太山,だいげんたさん,1598,標高点,新潟県,36.902626,138.927132
311,292-1,朝日岳,あさひだけ,1945,三角点,群馬県,36.880662,138.972624
312,292-2,朝日岳＜白毛門＞,あさひだけ＜しらがもん＞,1720,標高点,群馬県,36.859586,138.967356
313,293-1,谷川岳＜茂倉岳＞,たにがわだけ＜しげくらだけ＞,1978,標高点,群馬県 新潟県,36.849166,138.916666
314,293-2,谷川岳＜一ノ倉岳＞,たにがわだけ＜いちのくらだけ＞,1974,三角点,群馬県 新潟県,36.847111,138.924363
315,293-3,谷川岳＜オキノ耳＞,たにがわだけ＜おきのみみ＞,1977,標高点,群馬県 新潟県,36.837115,138.930157
316,294,万太郎山,まんたろうさん,1954,三角点,群馬県 新潟県,36.824152,138.879218
317,295,仙ノ倉山,せんのくらやま,2026,三角点,群馬県 新潟県,36.817468,138.839518
318,296,吾妻耶山,あづまやさん,1341,標高点,群馬県,36.746448,138.927349
319,297,苗場山,なえばさん,2145,三角点,新潟県 長野県,36.845937,138.69032
320,298,佐武流山,さぶりゅうやま,2192,三角点,新潟県 長野県,36.772288,138.670573
321,299,白砂山,しらすなやま,2140,三角点,群馬県 長野県,36.738071,138.693474
322,300,鳥甲山,とりかぶとやま,2038,三角点,長野県,36.839173,138.583986
323,301,高社山（高井富士）,こうしゃさん（たかいふじ）,1351,三角点,長野県,36.799269,138.403813
324,302-1,岩菅山＜裏岩菅山＞,いわすげやま＜うらいわすごやま＞,2341,標高点,長野県,36.752898,138.567803
325,302-2,岩菅山,いわすげやま,2295,三角点,長野県,36.742041,138.559524
326,303,志賀山,しがやま,2037,標高点,長野県,36.700227,138.515575
327,304,笠ヶ岳,かさがだけ,2076,三角点,長野県,36.676633,138.481478
328,305,横手山,よこてやま,2307,標高点,群馬県 長野県,36.668919,138.525913
329,306,白根山,しらねさん,2160,標高点,群馬県,36.643948,138.527727
330,307,本白根山,もとしらねさん,2171,標高点,群馬県,36.622923,138.531722
331,308-1,四阿山,あずまやさん,2354,標高点,長野県 群馬県,36.541764,138.412969
332,308-2,四阿山＜根子岳＞,あずまやさん＜ねこだけ＞,2207,標高点,長野県,36.549117,138.395272
333,309,湯ノ丸山,ゆのまるやま,2101,標高点,長野県 群馬県,36.434743,138.400961
334,310,東篭ノ登山,ひがしかごのとやま,2228,三角点,長野県 群馬県,36.419305,138.447168
335,311,浅間山,あさまやま,2568,標高点,群馬県 長野県,36.406526,138.522963
336,312,浅間隠山,あさまかくしやま,1757,三角点,群馬県,36.453704,138.652493
337,313,鼻曲山,はなまがりやま,1655,標高点,群馬県,36.410874,138.645322
338,314,榛名山＜掃部ヶ岳＞,はるなさん＜かもんがたけ＞,1449,標高点,群馬県,36.477402,138.850889
339,315,子持山,こもちやま,1296,三角点,群馬県,36.591957,138.997692
340,316,妙義山＜相馬岳＞,みょうぎさん＜そうまだけ＞,1104,三角点,群馬県,36.298645,138.748852
341,317,荒船山,あらふねやま,1423,三角点,群馬県 長野県,36.203993,138.637127
342,318,赤久縄山,あかぐなやま,1523,三角点,群馬県,36.143656,138.843288
343,319,西御荷鉾山,にしみかぼやま,1286,三角点,群馬県,36.152254,138.918307
344,320,二子山,ふたごやま,1166,三角点,埼玉県,36.069643,138.863701
345,321,両神山,りょうかみさん,1723,三角点,埼玉県,36.0234,138.841317
346,322,御座山,おぐらさん,2112,標高点,長野県,36.034105,138.606775
347,323,三宝山,さんぽうさん,2483,三角点,埼玉県 長野県,35.917623,138.727832
348,324,甲武信ヶ岳,こぶしがたけ,2475,標高点,埼玉県 山梨県 長野県,35.909115,138.728908
349,325,横尾山,よこおやま,1818,三角点,山梨県 長野県,35.918768,138.521142
350,326,瑞牆山,みずがきやま,2230,標高点,山梨県,35.893455,138.592088
351,327,金峰山,きんぷさん,2599,測定点,山梨県 長野県,35.871661,138.62553
352,328,朝日岳,あさひだけ,2579,標高点,山梨県 長野県,35.874632,138.642398
353,329,国師ヶ岳,こくしがたけ,2592,三角点,山梨県 長野県,35.870835,138.672966
354,330,北奥千丈岳,きたおくせんじょうだけ,2601,標高点,山梨県,35.868604,138.670754
355,331,乾徳山,けんとくさん,2031,標高点,山梨県,35.822776,138.714898
356,332,小楢山,こならやま,1713,三角点,山梨県,35.781533,138.664198
357,333,茅ヶ岳,かやがたけ,1704,三角点,山梨県,35.795014,138.513772
358,334,堂平山,どうだいらさん,876,三角点,埼玉県,36.005752,139.190071
